file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,77,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,78,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,79,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,80,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,12
style.css,81,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,46
style.css,82,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,63
style.css,83,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,70
style.css,84,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,85,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,86,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,87,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,88,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,5
style.css,89,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,13
style.css,90,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,30
style.css,91,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,8
style.css,92,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,93,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,94,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,11
style.css,95,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,19
style.css,96,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,13
style.css,97,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,30
style.css,98,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,8
style.css,99,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,100,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,101,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,12
style.css,102,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,19
style.css,103,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,18
style.css,104,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,105,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,0
style.css,106,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,54
style.css,107,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,11
style.css,108,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,22
style.css,109,css,ff69e4f4,Michael Yang,2025-04-18,14:14:32,-07:00,2025-04-18T14:14:32-07:00,0,20
style.css,110,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,111,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,112,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,10
style.css,113,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,13
style.css,114,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,59
style.css,115,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,9
style.css,116,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,117,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,118,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,9
style.css,119,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,25
style.css,120,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,13
style.css,121,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,22
style.css,122,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,19
style.css,123,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,22
style.css,124,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,125,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
style.css,126,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,8
style.css,127,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,13
style.css,128,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,34
style.css,129,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,8
style.css,130,css,265c791b,Michael Yang,2025-04-12,23:59:32,-07:00,2025-04-12T23:59:32-07:00,0,0
